,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-11-23 10:37:48.292590
1,Euro,0.959582,2024-11-23 10:37:48.292590
2,British Pound,0.797881,2024-11-23 10:37:48.292590
3,Indian Rupee,84.433636,2024-11-23 10:37:48.292590
4,Australian Dollar,1.538015,2024-11-23 10:37:48.292590
5,Canadian Dollar,1.397969,2024-11-23 10:37:48.292590
6,Singapore Dollar,1.347842,2024-11-23 10:37:48.292590
7,Swiss Franc,0.893812,2024-11-23 10:37:48.292590
8,Malaysian Ringgit,4.467969,2024-11-23 10:37:48.292590
9,Japanese Yen,154.774685,2024-11-23 10:37:48.292590
10,Chinese Yuan Renminbi,7.245414,2024-11-23 10:37:48.292590
11,Argentine Peso,1003.870993,2024-11-23 10:37:48.292590
12,Bahraini Dinar,0.376000,2024-11-23 10:37:48.292590
13,Botswana Pula,13.636443,2024-11-23 10:37:48.292590
14,Brazilian Real,5.800766,2024-11-23 10:37:48.292590
15,Bruneian Dollar,1.347842,2024-11-23 10:37:48.292590
16,Bulgarian Lev,1.876780,2024-11-23 10:37:48.292590
17,Chilean Peso,986.343388,2024-11-23 10:37:48.292590
18,Colombian Peso,4418.747618,2024-11-23 10:37:48.292590
19,Czech Koruna,24.322507,2024-11-23 10:37:48.292590
20,Danish Krone,7.157892,2024-11-23 10:37:48.292590
21,Hong Kong Dollar,7.784416,2024-11-23 10:37:48.292590
22,Hungarian Forint,394.979509,2024-11-23 10:37:48.292590
23,Icelandic Krona,139.678739,2024-11-23 10:37:48.292590
24,Indonesian Rupiah,15927.512506,2024-11-23 10:37:48.292590
25,Iranian Rial,42101.158121,2024-11-23 10:37:48.292590
26,Israeli Shekel,3.703017,2024-11-23 10:37:48.292590
27,Kazakhstani Tenge,499.162701,2024-11-23 10:37:48.292590
28,South Korean Won,1403.979648,2024-11-23 10:37:48.292590
29,Kuwaiti Dinar,0.308035,2024-11-23 10:37:48.292590
30,Libyan Dinar,4.880332,2024-11-23 10:37:48.292590
31,Mauritian Rupee,46.693131,2024-11-23 10:37:48.292590
32,Mexican Peso,20.424251,2024-11-23 10:37:48.292590
33,Nepalese Rupee,135.157143,2024-11-23 10:37:48.292590
34,New Zealand Dollar,1.713675,2024-11-23 10:37:48.292590
35,Norwegian Krone,11.072674,2024-11-23 10:37:48.292590
36,Omani Rial,0.384957,2024-11-23 10:37:48.292590
37,Pakistani Rupee,277.691112,2024-11-23 10:37:48.292590
38,Philippine Peso,58.943686,2024-11-23 10:37:48.292590
39,Polish Zloty,4.162206,2024-11-23 10:37:48.292590
40,Qatari Riyal,3.640000,2024-11-23 10:37:48.292590
41,Romanian New Leu,4.777030,2024-11-23 10:37:48.292590
42,Russian Ruble,104.320073,2024-11-23 10:37:48.292590
43,Saudi Arabian Riyal,3.750000,2024-11-23 10:37:48.292590
44,South African Rand,18.115350,2024-11-23 10:37:48.292590
45,Sri Lankan Rupee,291.142987,2024-11-23 10:37:48.292590
46,Swedish Krona,11.036392,2024-11-23 10:37:48.292590
47,Taiwan New Dollar,32.589075,2024-11-23 10:37:48.292590
48,Thai Baht,34.460930,2024-11-23 10:37:48.292590
49,Trinidadian Dollar,6.781209,2024-11-23 10:37:48.292590
50,Turkish Lira,34.553884,2024-11-23 10:37:48.292590
51,Emirati Dirham,3.672500,2024-11-23 10:37:48.292590
52,Venezuelan Bolivar,4652054.894421,2024-11-23 10:37:48.292590
